cmi_variant,arm,column,rho,p,ci_lo,ci_hi,flat,p_bh
"cmi_score (legacy, as shipped)",Grounded factual support,grounded_factual,0.014879928921850975,0.6118980041447065,-0.043408161350571677,0.07079989780466703,True,0.6118980041447065
"cmi_score (legacy, as shipped)",Zero-shot factual support,zero_factual,-0.06770894284212152,0.020820708541688368,-0.12304710426934166,-0.011495646088046794,False,0.041641417083376736
"cmi_score (legacy, as shipped)",Grounded hallucination,grounded_hallucination,0.061042209585315706,0.037232560089664905,0.005410854408999812,0.11714706528535902,False,0.04964341345288654
"cmi_score (legacy, as shipped)",Zero-shot hallucination,zero_hallucination,0.08116476975628537,0.005572602557127682,0.023772181709091664,0.13753916102779296,False,0.022290410228510728
"hindi_prop_v2 (repaired lexicon, SAME construct)",Grounded factual support,grounded_factual,-0.0006287774240783745,0.9828958979516648,-0.05808832679253087,0.05738963686354663,True,0.9828958979516648
"hindi_prop_v2 (repaired lexicon, SAME construct)",Zero-shot factual support,zero_factual,-0.11552692954721236,7.744151352638375e-05,-0.17118849791031884,-0.059449410481213986,False,0.000309766054105535
"hindi_prop_v2 (repaired lexicon, SAME construct)",Grounded hallucination,grounded_hallucination,-0.022402312169935084,0.44491914303562796,-0.08029843396012085,0.0358784684564984,True,0.593225524047504
"hindi_prop_v2 (repaired lexicon, SAME construct)",Zero-shot hallucination,zero_hallucination,0.042043888634833444,0.15153240124187925,-0.01775866791931157,0.10065611593482483,True,0.3030648024837585
cmi_v2_exclude,Grounded factual support,grounded_factual,0.02657700559465116,0.3647690395361043,-0.02981310150166371,0.08367626272758268,True,0.4863587193814724
cmi_v2_exclude,Zero-shot factual support,zero_factual,0.11428571450928326,9.25107359199226e-05,0.059087549038465186,0.17086283043942882,False,0.0003700429436796904
cmi_v2_exclude,Grounded hallucination,grounded_hallucination,0.04878619330358722,0.09603679356218116,-0.009658590177803154,0.10654130996021413,True,0.19207358712436232
cmi_v2_exclude,Zero-shot hallucination,zero_hallucination,-0.017632201040689733,0.5476903561256327,-0.07628141307072679,0.0411715536083331,True,0.5476903561256327
cmi_v2_hindi,Grounded factual support,grounded_factual,0.028042199732456096,0.3389208723588637,-0.028263031518101066,0.08537681220795444,True,0.45189449647848495
cmi_v2_hindi,Zero-shot factual support,zero_factual,0.11634702126731374,6.87908168150029e-05,0.06154719031563138,0.17319916719590095,False,0.0002751632672600116
cmi_v2_hindi,Grounded hallucination,grounded_hallucination,0.048241763515359824,0.09980840632021933,-0.010156549760239724,0.10634445660666979,True,0.19961681264043865
cmi_v2_hindi,Zero-shot hallucination,zero_hallucination,-0.017892980415995515,0.5417835344363053,-0.07660798554733789,0.0406974634171683,True,0.5417835344363053
cmi_v2_english,Grounded factual support,grounded_factual,0.022752398583940358,0.43783529461255444,-0.03476134968847572,0.08019023827622944,True,0.5837803928167392
cmi_v2_english,Zero-shot factual support,zero_factual,0.10948581365703706,0.00018094808125636576,0.05422346372111203,0.16607025357585947,False,0.000723792325025463
cmi_v2_english,Grounded hallucination,grounded_hallucination,0.050701222674805334,0.08366711003665227,-0.008345054893202756,0.10895959174843133,True,0.16733422007330453
cmi_v2_english,Zero-shot hallucination,zero_hallucination,-0.015700584615601195,0.5924067612875574,-0.07430551666800153,0.043118587054385156,True,0.5924067612875574
