pair_id,condition,similarity_score,match_quality,hinglish_query,zero_shot_output,grounded_output,zero_factual,grounded_factual,zero_hallucination,grounded_hallucination,factual_gain,halluc_reduction,cmi_score,cmi_bucket
P02304,skin_rash,0.3844,medium,"Hi, Hamare kashtkar Canadian winters mein, mere pichwade par kuch samasya ho gayi hai, jyadatar, kuch pait ke hisse aur kuch jaanghon par. Raat ko sone se pehle garam snan lena pasand karta hoon aur pata chala hai ki is aadat ko band karne se ye condition sudhar jaati hai. Ye chote chote funsi jaise daane hai jin par ek chota sa chhala hota hai. Ye khujli kar sakte hai, khaaskar din bhar woolen sweater pehne ke baad. Koi salaah kya hai iske liye, ye kya ho sakta hai. Uska tasveer neeche attach ki gayi hai.","Arre bhai, aapka description sunke lagta hai ki aapko ek chhote chhote funsiyon ke saath ek problem hai, jise ""chilblain"" kaha jata hai. Ye ek common problem hai Canadian winters mein, jahan aapko garam pani aur garam snan lena pasand aata hai. Iska matlab hai ki aapka shareer garam pani se bahut pasand karta hai, lekin thanda hawa aur thanda pani se nahin. Aapko is condition ko sudharne ke liye apne garam snan ko band karne ki zaroorat hai aur thanda pani se snan karna shuru karna chahiye.","Bhai, aapke symptoms aur tasveer ke anusaar, maine dekha hai ki aapke pichwade par chote chote funsi jaise daane hain jin par ek chota sa chhala hota hai. Ye symptoms hydrocele ke liye hi hain, jo ek prakaar ki samasya hai jismein scrotum mein paani jama ho jata hai. Lab investigation mein bhi pata chala hai ki scrotum mein hydrocele hai, jismein internal echoes hain aur testes normal size aur echotexture ke hain. 

Iske alawa, aapke lab investigation mein pata chala hai ki aapke blood mein blasts hain, jo ki aapke bone marrow examination mein bhi pata chala hai. Ye symptoms aapke leukemia ke liye hi hain, jismein aapke blood mein abnormal cells hain.",0.25,0.25,0.0,0.0,0.0,0.0,0.4479166666666667,medium_cm
P02451,skin_rash,0.4958,medium,Mere left small toe par dry skin red pimply rash shuru hui hai aur foot ke top par phail rahi hai. Shuru me mujhe athletes foot lag raha tha par spray kam nahi kar raha tha. Main thoda sa yaad kar paa rahi hoon ki maine kuch yard work karte waqt apne paer par kuch giraya tha par theek se yaad nahi hai. Small toe ke top par base me ek bug bite bhi ho sakta hai par fir bhi yaqeen nahi hai. Small toe par pressure lagane par thoda dard bhi hota hai. Kuch discoloration (black n blue) hai par woh chala jaata hai. Koi sujhav ho toh bataiye. Attached neeche image di gayi hai,"Arre bhai, aapka rash kuch chhote chhote pimple jaise dikh raha hai, aur yeh dry skin ke saath ho raha hai. Yeh possible hai ki yeh athlete's foot ke symptoms hain, lekin spray kaam nahi kar raha tha, toh humein kuch aur bhi check karna hoga. Aapne yard work karte waqt kuch giraya tha, isliye ek bug bite bhi possible hai. Main aapko ek dermatologist se milne ki suggestion deta hoon, woh aapke symptoms ko check kar sakte hain aur aapko proper treatment di sakte hain.","Bachchi, aapke symptoms ke liye main aapko kuch sujhav de sakta hoon. Aapka small toe par dry skin, red pimply rash, aur foot ke top par phail rahi hai, yeh symptoms athlete's foot ke liye lagbhag match karte hain. Lekin aapne kaha hai ki spray kam nahi kar raha tha, isliye main aapko kuch aur cheezon par dhyan dena sujhata hoon. Aapne kuch yard work karte waqt apne paer par kuch giraya tha, isse bhi kuch cheezon ke liye samjh sakta hoon. 

Mujhe lagta hai ki aapke symptoms ke liye aapko doctor se milna chahiye. Main aapko koi specific treatment ya sujhav nahi de sakta, lekin main aapko kahaunga ki aapko doctor se milkar apne symptoms ke bare mein baat karni chahiye.",0.0,0.5,1.0,0.5,0.5,0.5,0.4655172413793103,high_cm
P01284,edema,0.5345,high,"Mujhe lipo ki problem hai aur affected area ke neeche bahut saare nodules develop ho gaye hain. Par aaj meri therapist ne meri ribs par moveable chhota sa lump notice kiya hai (nodules se thoda bada). Wo lump ab ribs ke side se breast ke just neeche chala gaya hai. Mein kal apne doctor ke paas jaa rahi hoon iske baare mein puchhne ke liye, par abhi mujhe bahut anxiety ho rahi hai. Mere upper arms mein bhi lipo hai, doctor kripya niche di gayi patient ki image dekhenge aur sochenge ki kya nodules waistline se upar bhi develop ho sakte hain. Wo lump bahut tez dard kar raha hai.","Arre bhai, main samajh gaya. Aapka anxiety to hai, lekin main aapko thoda relax karne ka prayaas karta hoon. Jab aapka therapist ne ribs par ek moveable lump notice kiya hai, to yeh kuchh chizein sochne ke liye ho sakte hain. Yeh possible hai ki yeh lump breast cancer ke symptoms ke liye ek indicator ho, lekin ismein koi surety nahin hai. Aapko apne doctor se zaroor puchhna chahiye, lekin main aapko yeh bhi batana chahta hoon ki yeh lump dard kar raha hai, jisse yeh possible hai ki yeh ek infected cyst ho.","Arre bhai, maine aapki problem dekhi hai. Aapke paas ek cyst hai, jo ganglion cyst kehte hain. Yeh cyst fibula ke neeche develop hota hai. 

Ganglion cysts fibula ke neeche develop karne ke liye ek common jagah hain, aur yeh cysts peroneus longus tendon ke saath jude hote hain. Iske symptoms mein paresthesia aur dorsiflexion ki weakness shamil hain. 

Aapke case mein, aapke therapist ne ek cyst notice kiya hai, jo ribs ke side se breast ke neeche chala gaya hai. Iske liye differential diagnosis mein cystic mass near the proximal tibiofibular joint shamil hai. 

Management options ke liye, doctor aapko imaging tests ke liye bhej sakte hain, jaise MRI ya CT scan. Iske baad, doctor aapko treatment options decide kar sakte hain, jaise surgery ya injection therapy.",0.3333333333333333,1.0,0.6666666666666666,0.0,0.6666666666666667,0.6666666666666666,0.4636363636363636,high_cm
P01544,foot_swelling,0.4902,medium,"Main chemo par hoon aur 1 hafte pehle bathtub mein gir gayi, jiski wajah se meri lower leg andar se shin se lag gayi, kuch inch door. Doctor, aap patient ke legs ki kuch issue dekh sakte hain, niche di hui vartaman condition ko. Pehle toh sirf chot lag gayi jiski wajah se koi sujan nahi hui. Ab bhi bahar se sujan nahi dikhti hai, thoda sa bruised hai lekin maine notice kiya hai ki skin ke neeche gaanth si mehsoos hoti hai. Kya ye blood clot ho sakta hai?","Bilkul, chalo hum dekhte hain. Tub bath mein girne ke baad, aapke lower leg mein blood clot ho sakta hai. Ye gaanth si mahsoos hone ki wajah se bhi blood clot ka karan ho sakta hai. Lekin humein iske liye doctor se consult karna hoga aur kuch test karwane honge, jaise ki ultrasound ya MRI.","Beta, main dekh raha hoon ki aapko lower leg mein shin ke neeche gaanth si mehsoos ho rahi hai. Iska matlab hai ki aapko skin ke neeche kuch chot ya dard ho sakta hai. Lekin, main aapke lab reports aur clinical evidence ke anusar kuchh nahin dekh sakta. Blood clot ke liye koi direct evidence nahin hai. Haalanki, aapke renal failure ke karan aapko hemodialysis par rakha gaya hai, jiska karan ho sakta hai ki aapko blood clot ki samasya ho sakti hai. Lekin, yeh confirm nahin kiya ja sakta hai. Main aapko ek doctor se milne ki salah deta hoon.",0.25,0.25,0.0,0.0,0.0,0.0,0.4269662921348314,medium_cm
P00562,lip_swelling,0.4882,medium,"Metsformin ke acche alternate kya hai agar aapko diarrhea ho raha hai aur aapko allergic reactions ho rahe hain jaise ki rash, hives aur lips ka sujna. Please doctor, neeche image dekh lein jahaan par problem hai. Allergy ko kisi bhi khane ya peene se jod nahi paaya gaya hai aur reactions hamesha same nahi hote hain. Kabhi hives legs aur buttock par ho sakte hain, kabhi mere muh mein ya sar aur gardan ke piche sujhan ho sakti hai. Kabhi-kabhi zantac aur loratidine use karta hoon jo relief dete hain, kabhi-kabhi kam relief dete hain aur benadryl bhi le raha hoon.","Arre bhai, main samajh gaya. Metsformin ke acche alternate hai sulfonylureas jaise glimepiride ya gliclazide. Yeh diabetes control karne ke liye bhi upyogi hain. Lekin, aapko pahle doctor se baat karni chahiye.

Aapke allergy reactions kaafi complex hain, isliye humein koi bhi treatment plan banane se pehle doctor se baat karni chahiye. Aapke upyog kiye gaye antihistamines jaise zantac, loratidine aur benadryl bhi aapke allergy reactions ko control karne mein madad karte hain, lekin yeh permanent solution nahin hain.","Beta, maine dekha hai ki aapke paas edema hai, jo ki aapke lower lip aur tongue mein hai. Yeh edema aapke hypertension ke liye dawa lena shuru karne ke baad aaya hai. Aapke doctor ne aapko C1-INH concentrate diya hai, jisse aapka edema thoda hi samay mein theek ho gaya hai. 

Aapke paas allergic reactions bhi hain, jaise ki rash, hives aur lips ka sujna. Yeh reactions aapke khane ya peene se jod nahi paaye gaye hain, lekin hamesha same nahi hote hain. 

Main aapko kuchh bata sakta hoon, lekin main aapke symptoms ke liye koi bhi dawa ya treatment ke bare mein kuchh bhi nahi bata sakta, kyunki yeh clinical evidence mein nahi hai.",1.0,0.6666666666666666,0.0,0.3333333333333333,-0.33333333333333337,-0.3333333333333333,0.3942307692307692,low_cm
P00114,skin_rash,0.4547,medium,"Meri chhah saal ki beti ke saath aisa hua ki uske poore sharir par ek laal chhap nikli. Pehle mujhe laga ki ye german measles hai, par koi zyada fever nahi tha. Please doctor, dekhein is vartaman condition ko. Kuch din baad uske haath aur paon ke skin peeling shuru ho gaye bahut buri tarah se. Chhap toh abhi almost gayab ho gayi hai par skin peeling bahut zyada hai. Ye kya ho sakta hai? Antoinette.","Antoinette ji, aapki beti ke symptoms bahut hi khaas hain. Ek laal chhap, pehle fever, phir skin peeling - yeh symptoms measles ke alawa ek aur condition ke liye bhi ho sakte hain. Mera khaana hai ki aapki beti ek viral infection ke liye test ho sakti hai, jaise ki hand, foot, and mouth disease (HFMD) ya viral exanthem. Main aapko ek dermatologist ke paas le jana chaahta hoon, woh aapki beti ke symptoms ko aur vishleshan karenge.","Antoinette, maine suna ki aapka beta 42 saal ka hai aur use AD ka ilaaj hua tha. Lekin aapke beta ko fever, kamzori, chills, paunchh ki dard aur poori aapki condition bahut chinta lag rahi hai. Main aapko yeh batana chahta hoon ki aapke beta ko iliopsoas abscess ka ilaaj karwana tha, jiska CT scan mein dikhaya gaya tha. Ab uska blood culture mein Staphylococcus aureus ka growth hua hai, jo vancomycin se sensitive hai.",0.5,0.75,0.5,0.25,0.25,0.25,0.5394736842105263,high_cm
P01610,hand_lump,0.4785,medium,"Mujhe haath ke piche ek ubhre hue ganth hai. Doctor uski image neeche attach ki gayi hai. Main kaafi sure hu ki ye sujan aayi hui vein hai. Ye bahut khujli kar rahi hai aur jal rahi hai. Mujhe apni shaadi ki ring ko utarna pada kyunki wo uncomfortable thi, haath bhi sujha hua nahi dikh raha. Ye kya ho sakta hai. Bahut dhanyavaad!","Bilkul, main samajh gaya. Aapke haath ke piche ek ubhre hue ganth hai, jo aapke anubhav se sujan aayi hui vein lagta hai. Iska sabse sambhavit karan yeh hai ki aapke paas koi vein injury ho sakti hai, jisse blood aankh se nikal raha ho. Isse aapko thoda dard aur khujli ho sakti hai. Main aapko ek doctor ke saath meeting karne ke liye kahaunga.","Bhai, tumhare haath ke piche ek ganth hai, jiska ultrasonography ne pseudoaneurysm (false aneurysm) ka nishkarsh diya hai. Iske liye tumhe thrombin injection kiya gaya hai, jisse ganth puri tarah se band ho gaya hai.",0.25,0.25,0.0,0.0,0.0,0.0,0.546875,high_cm
P01479,hand_lump,0.581,high,"Mere right hand ke index finger aur middle finger par kuch hard thick skin balls hain. Doctor, uska image below attached hai, doctor kehte hain ki ye watts hai. Kya aap iska reason bata sakte hain? Shayad iska karan plastic se bane mouse ko hold karne se ho sakta hai ya kuch aur ho sakta hai. Aur ye kaise resolve hoga, please guide me.","Arre bhai, main aapko batata hoon ki ye hard thick skin balls, jise aap Watts kehte hain, aam taur par callus ya corn hai. Ye aapke finger par pressure ya friction ke karan ho sakta hai, jaise ki aap plastic mouse ko hold kar rahe hain. Iska ilaaj karne ke liye aapko apne finger ko regular roop se moisturize karna chahiye aur pressure ya friction ko kam karne ke liye aapko apne finger ko proper grip mein rakhna chahiye.","Arre bhai, main aapko kuchh batata hoon. Yeh ""Watt's"" tumhare index aur middle finger par aane wala hai, lekin evidence mein kuchh nahi hai jo iska karan batata hai. Lekin yeh bataya jata hai ki yeh kuchh osteochondral fragment ke baad a sakta hai. 

Iska karan plastic se bane mouse ko hold karne se nahi hai, lekin iske baad aane wala hai. Iska treatment hoga ki tumhe apne doctor se milna hoga aur unhone tumhare finger ko check karke treatment decide karenge.",0.25,0.25,0.0,0.0,0.0,0.0,0.4375,medium_cm
P02784,eye_inflammation,0.551,high,"Hello doctor,Mai pichle do hafto mein apni aankh ki cornea do baar khujali karta raha hoon. Pehli baar do hafto pehle hua jab mai apne contacts ko extended time ke liye pehna raha tha (normal se jyada nahi) aur mujhe severe pain, tearing, right eye swelling hui. Uski image attached hai neeche. Lag raha tha jaise mere contacts aankh mein fold ho gaya hai (aisa nahi tha). Thoda sensitive hai. Kuch din lag gaye aur mai normal ho gaya par tab se contacts nahi pehne tha jab tak kal mai thode der ke liye pehna, koi problem nahi thi. Kal pura din pehne rakhne par mujhe wahi reaction hua- dry eye, tearing, extreme pain, scratchy eyes, bahut light sensitivity aur bahut saari samasya aankhon mein. Kya mujhe iska ilaj ke liye doctor ke paas jaana chahiye ya ye apne aap heal ho jayega. Mai kitne din tak wait karun contacts phir se pehne ke liye.","Arre bhai, aapka case serious hai. Aapke symptoms corneal abrasion ya dry eye jaise ho sakte hain, jo contacts pehne ke karan ho sakte hain. Main aapko der tak contacts nahi pehne ke liye kahuunga, aur aapko antibiotic eye drops aur moisturizing drops lene ke liye bhi kahuunga. Aapko doctor ke paas jaana chahiye, woh aapko proper checkup karke ilaj kar sakte hain.","Bhai, aapke symptoms bahut hi similar hain Graves ophthalmopathy ke. Ismein aankhon ki korona ka kathin hona, dry eye, tearing, pain, aur light sensitivity shamil hain. Aapke case mein, contacts pehne ke baad aapke symptoms aane lage the, lekin aapke symptoms bahut hi severe hain. 

Aapko doctor ke paas jaana chahiye, kyonki ismein serious complications ho sakti hain, jaise ki visual loss. Aapko 2-4 hafto tak wait karne ki zaroorat nahi hai, aapko immediately doctor ke paas jaana chahiye.",0.25,0.0,0.0,1.0,-0.25,-1.0,0.3782051282051282,low_cm
P00007,swollen_tonsils,0.4883,medium,"Kya 2 saal ke bachche ke liye safe hai. Mere do saal ke bacche ke tonsils mein ek bacterial infection hai aur antibiotics ke saath ek medicine prescribe ki gayi hai jise zyncet kaha gaya hai. Please doctor, dekhiye is vartaman condition ko. Kya zyncet 2 saal ke bachche ke liye safe hai? Aur waise bhi, uske masoodon me ek dum halki lag rahe hain medicine teen dinon se use karne ke baad. Kya ye dawa ka side effect ho sakta hai. Kindly advise.","Beta, zyncet ek antibiotic hai jo bachchon ke liye safe hai. Lekin, 2 saal ke bachche ke liye, iska use karna zaroori hai doctor ki anumati ke baad. Agar tumhara doctor ne zyncet prescribe kiya hai, to yeh shayad uske liye safe hai. Lekin, tumhara baccha halki dard kar raha hai, ismein kuch problem ho sakti hai, isliye doctor se baat karo aur unhe puchho ki kya karna hai.","Beta, maine aapki baat suni hai. Lekin zyancet ka mention koi jagah nahin hai clinical evidence mein. Isliye, main kuch bhi nahin keh sakta hoon zyancet ke baare mein. Lekin aapka baccha 2 saal ka hai, aur uske tonsil mein bacterial infection hai. Iske liye, aapko apne doctor se baat karni chahiye.",0.25,1.0,0.0,0.0,0.75,0.0,0.4634146341463415,high_cm
