pair_id,cmi_score,hindi_prop_v2
P01973,0.5135135135135135,0.7428571428571429
P02314,0.1666666666666666,0.34375
P02108,0.5128205128205128,0.7272727272727273
P02011,0.4878048780487805,0.7777777777777778
P00102,0.3611111111111111,0.6896551724137931
P02065,0.4324324324324324,0.696969696969697
P01366,0.3947368421052631,0.7142857142857143
P02048,0.4210526315789473,0.7586206896551724
P00709,0.2857142857142857,0.4838709677419355
P02340,0.4883720930232558,0.7567567567567568
P02175,0.4285714285714285,0.8529411764705882
P02300,0.4210526315789473,0.7575757575757576
P00982,0.2424242424242424,0.46153846153846156
P02098,0.2972972972972973,0.6428571428571429
P02046,0.475,0.7222222222222222
P02875,0.4848484848484848,0.6060606060606061
P02241,0.4736842105263157,0.7096774193548387
P02106,0.5365853658536586,0.9333333333333333
P02519,0.4102564102564102,0.696969696969697
P02274,0.5,0.8709677419354839
P01759,0.4186046511627907,0.7
P02473,0.4871794871794871,0.8064516129032258
P02729,0.4651162790697674,0.8378378378378378
P02454,0.4615384615384615,0.9655172413793104
P02194,0.3611111111111111,0.65625
P00130,0.3947368421052631,0.7741935483870968
P01850,0.4358974358974359,0.7741935483870968
P00141,0.3714285714285714,0.6774193548387096
P01965,0.34375,0.4642857142857143
P01170,0.4411764705882353,0.5333333333333333
P00852,0.3947368421052631,0.6764705882352942
P02013,0.5,0.8181818181818182
P02114,0.4,0.7368421052631579
P02452,0.3157894736842105,0.59375
P00419,0.5,0.7777777777777778
P02375,0.325,0.5714285714285714
P02174,0.358974358974359,0.6774193548387096
P01918,0.4102564102564102,0.5294117647058824
P02741,0.3823529411764705,0.41379310344827586
P01937,0.45,0.75
P02425,0.4210526315789473,0.8
P02356,0.3902439024390244,0.631578947368421
P02302,0.3684210526315789,0.78125
P02277,0.3170731707317073,0.6216216216216216
P00147,0.425,0.6944444444444444
P01268,0.3947368421052631,0.7419354838709677
P00181,0.2647058823529412,0.5652173913043478
P02081,0.475,0.7647058823529411
P03002,0.4054054054054054,0.65625
P02557,0.375,0.6578947368421053
P02789,0.3055555555555556,0.45161290322580644
P01922,0.4864864864864865,0.7575757575757576
P02369,0.4102564102564102,0.8888888888888888
P02507,0.4324324324324324,0.6666666666666666
P02021,0.4,0.8571428571428571
P02240,0.3823529411764705,0.5806451612903226
P00120,0.4166666666666667,0.6129032258064516
P01384,0.4146341463414634,0.6923076923076923
P02222,0.3333333333333333,0.6774193548387096
P02689,0.0,0.0
P02517,0.5116279069767442,0.6410256410256411
P02051,0.4210526315789473,0.696969696969697
P02120,0.4102564102564102,0.6388888888888888
P02227,0.3947368421052631,0.5806451612903226
P00081,0.5,0.8285714285714286
P02524,0.3720930232558139,0.7777777777777778
P02295,0.3658536585365853,0.625
P02577,0.3333333333333333,0.6551724137931034
P02568,0.4736842105263157,0.7333333333333333
P02180,0.4736842105263157,0.6285714285714286
P02260,0.4390243902439024,0.7837837837837838
P02459,0.325,0.7931034482758621
P01993,0.4473684210526316,0.5789473684210527
P02304,0.4479166666666667,0.8611111111111112
P02451,0.4655172413793103,0.6504854368932039
P01284,0.4636363636363636,0.6831683168316832
P01544,0.4269662921348314,0.7037037037037037
P00562,0.3942307692307692,0.7191011235955056
P00114,0.5394736842105263,0.8235294117647058
P01610,0.546875,0.8181818181818182
P01479,0.4375,0.576271186440678
P02784,0.3782051282051282,0.6521739130434783
P00007,0.4634146341463415,0.7246376811594203
P02294,0.3706293706293706,0.6617647058823529
P01062,0.4729729729729729,0.8
P02386,0.39,0.7209302325581395
P01335,0.4078947368421052,0.6764705882352942
P00825,0.4110429447852761,0.7671232876712328
P00529,0.4078212290502793,0.6623376623376623
P00146,0.4838709677419355,0.5645161290322581
P00810,0.382716049382716,0.6447368421052632
P00040,0.5277777777777778,0.8153846153846154
P02767,0.2346938775510204,0.3548387096774194
P01006,0.4742268041237113,0.6966292134831461
P02759,0.4767441860465116,0.7125
P01742,0.3533834586466165,0.5327868852459017
P02510,0.4204545454545454,0.6352941176470588
P01096,0.360655737704918,0.5932203389830508
P02283,0.3595505617977528,0.75
P00124,0.484375,0.7966101694915254
P02238,0.4285714285714285,0.7424242424242424
P00855,0.4588235294117647,0.775
P01025,0.4352941176470588,0.7205882352941176
P01652,0.4861111111111111,0.9137931034482759
P00917,0.4055299539170507,0.7142857142857143
P02763,0.4825870646766169,0.8224852071005917
P02010,0.4170854271356783,0.7235294117647059
P00222,0.4333333333333333,0.7532467532467533
P01734,0.3895348837209302,0.7021276595744681
P00792,0.4246575342465753,0.696969696969697
P01559,0.4634146341463415,0.7428571428571429
P02353,0.3231707317073171,0.6148148148148148
P01054,0.4130434782608695,0.7142857142857143
P00665,0.4126984126984127,0.6339285714285714
P01220,0.4597701149425287,0.7916666666666666
P00711,0.4502369668246445,0.7634408602150538
P00641,0.45,0.8153846153846154
P00328,0.3090909090909091,0.4
P00103,0.3833333333333333,0.5370370370370371
P02364,0.4623655913978494,0.8266666666666667
P00784,0.4140350877192982,0.7681818181818182
P01435,0.5,0.9310344827586207
P01095,0.3888888888888889,0.6458333333333334
P01380,0.4945054945054945,0.7721518987341772
P02310,0.0,0.0
P00076,0.4408602150537634,0.7710843373493976
P00564,0.3333333333333333,0.5244755244755245
P02169,0.448051948051948,0.7463768115942029
P00624,0.4303030303030303,0.7372262773722628
P00524,0.4854368932038835,0.7021276595744681
P00280,0.4,0.7735849056603774
P01832,0.504950495049505,0.8235294117647058
P00266,0.3557692307692308,0.7945205479452054
P00660,0.453416149068323,0.7114093959731543
P00293,0.4473684210526316,0.6911764705882353
